order_id,customer_id,customer_segment,order_date,due_date,product_type,quantity,estimated_production_time,resource_available,machine_id,status,priority_score
O10000,C1328,B,2025-05-29,2025-06-05,Doohickey,52,19.07,11,M5,delayed,3.29
O10001,C1058,B,2025-06-27,2025-07-11,Thingamajig,93,19.18,9,M3,queued,0.48
O10002,C1013,B,2025-07-01,2025-07-06,Thingamajig,15,4.43,11,M2,in progress,5.56
O10003,C1380,B,2025-06-27,2025-07-09,Thingamajig,72,20.94,5,M5,in progress,1.11
O10004,C1141,B,2025-06-01,2025-06-07,Widget,61,17.03,6,M3,queued,3.9
O10005,C1126,C,2025-05-10,2025-05-21,Thingamajig,21,7.56,9,M3,queued,0.84
O10006,C1115,C,2025-06-12,2025-06-26,Gadget,83,19.78,7,M4,in progress,-1.58
O10007,C1072,B,2025-05-24,2025-06-01,Gadget,87,33.64,8,M2,queued,1.44
O10008,C1378,A,2025-06-23,2025-07-02,Gadget,75,18.77,5,M4,delayed,4.52
O10009,C1053,A,2025-06-07,2025-06-12,Thingamajig,75,26.68,6,M1,queued,5.33
O10010,C1347,B,2025-05-20,2025-05-25,Doohickey,88,24.15,9,M5,queued,3.58
O10011,C1380,C,2025-05-30,2025-06-04,Gadget,24,4.83,9,M2,queued,3.52
O10012,C1457,B,2025-06-29,2025-07-08,Doohickey,3,0.59,5,M3,queued,4.34
O10013,C1280,B,2025-05-30,2025-06-03,Doohickey,22,6.57,10,M3,in progress,5.74
O10014,C1045,B,2025-06-14,2025-06-27,Widget,53,16.38,7,M1,queued,1.16
O10015,C1303,A,2025-05-28,2025-06-09,Gadget,2,0.33,5,M3,queued,5.17
O10016,C1217,C,2025-06-27,2025-07-01,Widget,88,24.35,9,M5,queued,1.96
O10017,C1017,A,2025-06-29,2025-07-03,Widget,30,5.21,4,M4,in progress,7.88
O10018,C1016,B,2025-06-14,2025-06-26,Widget,38,13.64,6,M2,delayed,1.84
O10019,C1048,B,2025-06-08,2025-06-22,Thingamajig,2,0.66,5,M5,in progress,2.33
O10020,C1112,B,2025-05-22,2025-06-05,Widget,64,21.94,10,M1,queued,0.21
O10021,C1120,A,2025-05-06,2025-05-17,Doohickey,60,21.37,9,M5,queued,3.46
O10022,C1259,C,2025-06-22,2025-06-25,Gadget,21,7.75,7,M1,queued,4.03
O10023,C1309,C,2025-06-29,2025-07-07,Doohickey,33,5.32,11,M5,in progress,2.27
O10024,C1014,C,2025-05-07,2025-05-12,Gadget,76,19.48,9,M3,queued,2.05
O10025,C1288,C,2025-05-24,2025-05-30,Thingamajig,58,14.38,7,M3,queued,2.16
O10026,C1102,A,2025-05-11,2025-05-17,Gadget,22,7.51,5,M1,queued,6.85
O10027,C1367,B,2025-05-10,2025-05-20,Gadget,89,26.49,7,M5,delayed,1.35
O10028,C1333,B,2025-05-29,2025-06-11,Gadget,49,13.75,8,M5,queued,1.42
O10029,C1360,A,2025-06-21,2025-06-27,Gadget,91,30.1,8,M4,queued,4.59
O10030,C1280,B,2025-06-07,2025-06-16,Doohickey,59,12.19,8,M4,queued,3.18
O10031,C1215,C,2025-06-30,2025-07-07,Gadget,42,6.41,10,M2,queued,2.56
O10032,C1113,B,2025-05-24,2025-05-29,Widget,92,19.1,10,M3,in progress,4.09
O10033,C1230,C,2025-07-03,2025-07-07,Gadget,60,9.78,4,M1,queued,3.42
